device_id,device_name,precinct_name
00441006000000200646,低压直流配电1,性能采集机房10_200快1
00441006000000200666,低压直流配电2,性能采集机房10_200快1
00441006000000200667,低压直流配电3,性能采集机房10_200快1
00441006000000200668,低压直流配电4,性能采集机房10_200快1
00441006000000200669,低压直流配电5,性能采集机房10_200快1
00441006000000200670,低压直流配电6,性能采集机房10_200快1
00441006000000200671,低压直流配电7,性能采集机房10_200快1
00441006000000200672,低压直流配电8,性能采集机房10_200快1
00441006000000200673,低压直流配电9,性能采集机房10_200快1
00441006000000200674,低压直流配电10,性能采集机房10_200快1
00441006000000200675,低压直流配电11,性能采集机房10_200快1
00441006000000200676,低压直流配电12,性能采集机房10_200快1
00441006000000200677,低压直流配电13,性能采集机房10_200快1
00441006000000200678,低压直流配电14,性能采集机房10_200快1
00441006000000200679,低压直流配电15,性能采集机房10_200快1
00441006000000200680,低压直流配电16,性能采集机房10_200快1
00441006000000200681,低压直流配电17,性能采集机房10_200快1
00441006000000200682,低压直流配电18,性能采集机房10_200快1
00441006000000200683,低压直流配电19,性能采集机房10_200快1
00441006000000200684,低压直流配电20,性能采集机房10_200快1
00441006000000200685,低压直流配电21,性能采集机房10_200快1
00441006000000200686,低压直流配电22,性能采集机房10_200快1
00441006000000200687,低压直流配电23,性能采集机房10_200快1
00441006000000200688,低压直流配电24,性能采集机房10_200快1
00441006000000200689,低压直流配电25,性能采集机房10_200快1
00441006000000200690,低压直流配电26,性能采集机房10_200快1
00441006000000200691,低压直流配电27,性能采集机房10_200快1
00441006000000200692,低压直流配电28,性能采集机房10_200快1
00441006000000200693,低压直流配电29,性能采集机房10_200快1
00441006000000200694,低压直流配电30,性能采集机房10_200快1
00441006000000200695,低压直流配电31,性能采集机房10_200快1
00441006000000200696,低压直流配电32,性能采集机房10_200快1
00441006000000200697,低压直流配电33,性能采集机房10_200快1
00441006000000200698,低压直流配电34,性能采集机房10_200快1
00441006000000200699,低压直流配电35,性能采集机房10_200快1
00441006000000200700,低压直流配电36,性能采集机房10_200快1
00441006000000200701,低压直流配电37,性能采集机房10_200快1
00441006000000200702,低压直流配电38,性能采集机房10_200快1
00441006000000200703,低压直流配电39,性能采集机房10_200快1
00441006000000200704,低压直流配电40,性能采集机房10_200快1
00441006000000200705,低压直流配电41,性能采集机房10_200快1
00441006000000200706,低压直流配电42,性能采集机房10_200快1
00441006000000200707,低压直流配电43,性能采集机房10_200快1
00441006000000200708,低压直流配电44,性能采集机房10_200快1
00441006000000200709,低压直流配电45,性能采集机房10_200快1
00441006000000200710,低压直流配电46,性能采集机房10_200快1
00441006000000200711,低压直流配电47,性能采集机房10_200快1
00441006000000200712,低压直流配电48,性能采集机房10_200快1
00441006000000200713,低压直流配电49,性能采集机房10_200快1
00441006000000200714,低压直流配电50,性能采集机房10_200快1
00441006000000200715,低压直流配电51,性能采集机房10_200快1
00441006000000200716,低压直流配电52,性能采集机房10_200快1
00441006000000200717,低压直流配电53,性能采集机房10_200快1
00441006000000200718,低压直流配电54,性能采集机房10_200快1
00441006000000200719,低压直流配电55,性能采集机房10_200快1
00441006000000200720,低压直流配电56,性能采集机房10_200快1
00441006000000200721,低压直流配电57,性能采集机房10_200快1
00441006000000200722,低压直流配电58,性能采集机房10_200快1
00441006000000200723,低压直流配电59,性能采集机房10_200快1
00441006000000200724,低压直流配电60,性能采集机房10_200快1
00441006000000200725,低压直流配电61,性能采集机房10_200快1
00441006000000200726,低压直流配电62,性能采集机房10_200快1
00441006000000200727,低压直流配电63,性能采集机房10_200快1
00441006000000200728,低压直流配电64,性能采集机房10_200快1
00441006000000200729,低压直流配电65,性能采集机房10_200快1
00441006000000200730,低压直流配电66,性能采集机房10_200快1
00441006000000200731,低压直流配电67,性能采集机房10_200快1
00441006000000200732,低压直流配电68,性能采集机房10_200快1
00441006000000200733,低压直流配电69,性能采集机房10_200快1
00441006000000200734,低压直流配电70,性能采集机房10_200快1
00441006000000200735,低压直流配电71,性能采集机房10_200快1
00441006000000200736,低压直流配电72,性能采集机房10_200快1
00441006000000200737,低压直流配电73,性能采集机房10_200快1
00441006000000200738,低压直流配电74,性能采集机房10_200快1
00441006000000200739,低压直流配电75,性能采集机房10_200快1
00441006000000200740,低压直流配电76,性能采集机房10_200快1
00441006000000200741,低压直流配电77,性能采集机房10_200快1
00441006000000200742,低压直流配电78,性能采集机房10_200快1
00441006000000200743,低压直流配电79,性能采集机房10_200快1
00441006000000200744,低压直流配电80,性能采集机房10_200快1
00441006000000200745,低压直流配电81,性能采集机房10_200快1
00441006000000200746,低压直流配电82,性能采集机房10_200快1
00441006000000200747,低压直流配电83,性能采集机房10_200快1
00441006000000200748,低压直流配电84,性能采集机房10_200快1
00441006000000200749,低压直流配电85,性能采集机房10_200快1
00441006000000200750,低压直流配电86,性能采集机房10_200快1
00441006000000200751,低压直流配电87,性能采集机房10_200快1
00441006000000200752,低压直流配电88,性能采集机房10_200快1
